nohup: 忽略输入
✅ 检测到已有输出文件，尝试读取已处理结果：/home/cuhk/Documents/Test_lx/Find_Paper/ICRA2024_Title_标题_DOI_Abstract_摘要_关键词.csv
   已同步 0 条已处理结果到当前批次。

--- 待处理总行数: 1760 | 新任务数: 1760 ---
✔ 完成 [450/1760] | 设备: 机械臂 | 标题: Investigation on the multi-solution problem of the kinetostatics of cable-driven...
✔ 完成 [451/1760] | 设备: 其他 | 标题: Elasto-Static Modelling and Identification of a Deployable Cable-Driven Parallel...
✔ 完成 [452/1760] | 设备: 其他 | 标题: Torque Transmission in Double-Tendon Sheath Driven Actuators for Application in ...
✔ 完成 [453/1760] | 设备: 无人小车 | 标题: OpenBot-Fleet: A System for Collective Learning with Real Robots....
✔ 完成 [455/1760] | 设备: 机械臂 | 标题: Increasing the Absolute Position Accuracy of Industrial Robots by Means of a Dee...
✔ 完成 [456/1760] | 设备: 其他 | 标题: SpawnNet: Learning Generalizable Visuomotor Skills from Pre-trained Network....
✔ 完成 [454/1760] | 设备: 其他 | 标题: WOMD-LiDAR: Raw Sensor Dataset Benchmark for Motion Forecasting....
✔ 完成 [458/1760] | 设备: 其他 | 标题: Dream2Real: Zero-Shot 3D Object Rearrangement with Vision-Language Models....
✔ 完成 [460/1760] | 设备: 其他 | 标题: Scaling Motion Forecasting Models with Ensemble Distillation....
✔ 完成 [457/1760] | 设备: 机械臂 | 标题: RoboAgent: Generalization and Efficiency in Robot Manipulation via Semantic Augm...
✔ 完成 [461/1760] | 设备: 其他 | 标题: Is it a Bug? Understanding Physical Unit Mismatches in Robot Software....
✔ 完成 [463/1760] | 设备: 其他 | 标题: Multi-Robot Cooperative Navigation in Crowds: A Game-Theoretic Learning-Based Mo...
✔ 完成 [459/1760] | 设备: 机械臂 | 标题: Robot Fine-Tuning Made Easy: Pre-Training Rewards and Policies for Autonomous Re...
✔ 完成 [462/1760] | 设备: 其他 | 标题: Behavior Tree Capabilities for Dynamic Multi-Robot Task Allocation with Heteroge...
✔ 完成 [464/1760] | 设备: 其他 | 标题: Multi-robot Human-in-the-loop Control under Spatiotemporal Specifications....
✔ 完成 [465/1760] | 设备: 其他 | 标题: Measurement-limited Multi-Agent, Relative Pose Estimation for On-Orbit Inspectio...
✔ 完成 [466/1760] | 设备: 其他 | 标题: Dynamic Targeting of Satellite Observations Incorporating Slewing Costs and Comp...
✔ 完成 [467/1760] | 设备: 其他 | 标题: RecNet: An Invertible Point Cloud Encoding through Range Image Embeddings for Mu...
✔ 完成 [468/1760] | 设备: 其他 | 标题: Object Permanence Filter for Robust Tracking with Interactive Robots....
✔ 完成 [471/1760] | 设备: 无人小车 | 标题: SWTrack: Multiple Hypothesis Sliding Window 3D Multi-Object Tracking....
✔ 完成 [472/1760] | 设备: 其他 | 标题: UncertaintyTrack: Exploiting Detection and Localization Uncertainty in Multi-Obj...
✔ 完成 [470/1760] | 设备: 其他 | 标题: Refining Pre-Trained Motion Models....
✔ 完成 [474/1760] | 设备: 其他 | 标题: WeatherDepth: Curriculum Contrastive Learning for Self-Supervised Depth Estimati...
✔ 完成 [469/1760] | 设备: 其他 | 标题: Zero-Shot Open-Vocabulary Tracking with Large Pre-Trained Models....
✔ 完成 [473/1760] | 设备: 其他 | 标题: LiteTrack: Layer Pruning with Asynchronous Feature Extraction for Lightweight an...
✔ 完成 [475/1760] | 设备: 无人小车 | 标题: Collaborative Decision-Making Using Spatiotemporal Graphs in Connected Autonomy....
✔ 完成 [476/1760] | 设备: 其他 | 标题: Multi-Model 3D Registration: Finding Multiple Moving Objects in Cluttered Point ...
✔ 完成 [478/1760] | 设备: 其他 | 标题: ConceptGraphs: Open-Vocabulary 3D Scene Graphs for Perception and Planning....
✔ 完成 [477/1760] | 设备: 其他 | 标题: VG4D: Vision-Language Model Goes 4D Video Recognition....
✔ 完成 [479/1760] | 设备: 其他 | 标题: Long-Tailed 3D Semantic Segmentation with Adaptive Weight Constraint and Samplin...
✔ 完成 [480/1760] | 设备: 机器狗 | 标题: Learning Diverse Skills for Local Navigation under Multi-constraint Optimality....
✔ 完成 [481/1760] | 设备: 其他 | 标题: Snake Robot with Tactile Perception Navigates on Large-scale Challenging Terrain...
✔ 完成 [485/1760] | 设备: 其他 | 标题: An Environmental-Complexity-Based Navigation Method Based on Hierarchical Deep R...
✔ 完成 [482/1760] | 设备: 其他 | 标题: RaLF: Flow-based Global and Metric Radar Localization in LiDAR Maps....
✔ 完成 [483/1760] | 设备: 其他 | 标题: VPE-SLAM: Neural Implicit Voxel-permutohedral Encoding for SLAM....
✔ 完成 [486/1760] | 设备: 无人小车 | 标题: Pre-Trained Masked Image Model for Mobile Robot Navigation....
✔ 完成 [487/1760] | 设备: 其他 | 标题: Active Automotive Augmented Reality Displays using Reinforcement Learning....
✔ 完成 [488/1760] | 设备: 其他 | 标题: Extremum-Seeking Action Selection for Accelerating Policy Optimization....
✔ 完成 [484/1760] | 设备: 其他 | 标题: Zero-Shot Wireless Indoor Navigation through Physics-Informed Reinforcement Lear...
✔ 完成 [489/1760] | 设备: 其他 | 标题: Privacy Risks in Reinforcement Learning for Household Robots....
✔ 完成 [490/1760] | 设备: 其他 | 标题: MAexp: A Generic Platform for RL-based Multi-Agent Exploration....
✔ 完成 [491/1760] | 设备: 其他 | 标题: Improving Offline Reinforcement Learning with Inaccurate Simulators....
✔ 完成 [492/1760] | 设备: 无人机 | 标题: REFORMA: Robust REinFORceMent Learning via Adaptive Adversary for Drones Flying ...
✔ 完成 [495/1760] | 设备: 其他 | 标题: Guided by the Way: The Role of On-the-route Objects and Scene Text in Enhancing ...
✔ 完成 [493/1760] | 设备: 无人小车 | 标题: Brain-Inspired Hyperdimensional Computing in the Wild: Lightweight Symbolic Lear...
✔ 完成 [496/1760] | 设备: 其他 | 标题: PlaceNav: Topological Navigation through Place Recognition....
✔ 完成 [494/1760] | 设备: 机械臂 | 标题: Learning for Deformable Linear Object Insertion Leveraging Flexibility Estimatio...
✔ 完成 [497/1760] | 设备: 其他 | 标题: Aligning Knowledge Graph with Visual Perception for Object-goal Navigation....
✔ 完成 [498/1760] | 设备: 其他 | 标题: Probable Object Location (POLo) Score Estimation for Efficient Object Goal Navig...
✔ 完成 [499/1760] | 设备: 其他 | 标题: Bridging Zero-shot Object Navigation and Foundation Models through Pixel-Guided ...
✔ 完成 [500/1760] | 设备: 其他 | 标题: ViPlanner: Visual Semantic Imperative Learning for Local Navigation....
✔ 完成 [503/1760] | 设备: 机械臂 | 标题: Embedded air channels transform soft lattices into sensorized grippers....
✔ 完成 [508/1760] | 设备: 无人机 | 标题: UAV-Sim: NeRF-based Synthetic Data Generation for UAV-based Perception....
✔ 完成 [504/1760] | 设备: 其他 | 标题: Design of A Rigid-soft Hybrid Robotic Glove with Force Sensing Function....
✔ 完成 [505/1760] | 设备: 其他 | 标题: Capacitive Origami Sensing Modules for Measuring Force in a Neurosurgical, Soft ...
✔ 完成 [506/1760] | 设备: 其他 | 标题: A soft miniaturized continuum robot with 3D shape sensing via functionalized sof...
✔ 完成 [507/1760] | 设备: 其他 | 标题: Continuously Estimate and Control Prosthetic Grip Force by an Optical Waveguide ...
✔ 完成 [502/1760] | 设备: 无人机 | 标题: A Biomorphic Whisker Sensor for Aerial Tactile Applications....
✔ 完成 [501/1760] | 设备: 其他 | 标题: UIVNAV: Underwater Information-driven Vision-based Navigation via Imitation Lear...
✔ 完成 [509/1760] | 设备: 无人机 | 标题: Contrastive Learning for Enhancing Robust Scene Transfer in Vision-based Agile F...
✔ 完成 [510/1760] | 设备: 无人机 | 标题: Watching the Air Rise: Learning-Based Single-Frame Schlieren Detection....
✔ 完成 [513/1760] | 设备: 其他 | 标题: GAM-Depth: Self-Supervised Indoor Depth Estimation Leveraging a Gradient-Aware M...
✔ 完成 [512/1760] | 设备: 其他 | 标题: End-to-End Semi-Supervised 3D Instance Segmentation with PCTeacher....
✔ 完成 [516/1760] | 设备: 机械臂 | 标题: STOPNet: Multiview-based 6-DoF Suction Detection for Transparent Objects on Prod...
✔ 完成 [517/1760] | 设备: 其他 | 标题: RoboTAP: Tracking Arbitrary Points for Few-Shot Visual Imitation....
✔ 完成 [511/1760] | 设备: 无人机 | 标题: High-throughput Visual Nano-drone to Nano-drone Relative Localization using Onbo...
✔ 完成 [515/1760] | 设备: 其他 | 标题: Advancements in 3D Lane Detection Using LiDAR Point Clouds: From Data Collection...
✔ 完成 [514/1760] | 设备: 其他 | 标题: RoboKeyGen: Robot Pose and Joint Angles Estimation via Diffusion-based 3D Keypoi...
✔ 完成 [518/1760] | 设备: 机械臂 | 标题: Learning Extrinsic Dexterity with Parameterized Manipulation Primitives....
✔ 完成 [519/1760] | 设备: 机械臂 | 标题: Learning active manipulation to target shapes with model-free, long-horizon deep...
✔ 完成 [526/1760] | 设备: 其他 | 标题: The effect of rejection strategy on trust and shopping choices in robot-assisted...
✔ 完成 [524/1760] | 设备: 机械臂 | 标题: An offline learning of behavior correction policy for vision-based robotic manip...
✔ 完成 [520/1760] | 设备: 机械臂 | 标题: GAMMA: Generalizable Articulation Modeling and Manipulation for Articulated Obje...
✔ 完成 [522/1760] | 设备: 机械臂 | 标题: Contact Energy Based Hindsight Experience Prioritization....
✔ 完成 [527/1760] | 设备: 其他 | 标题: Planning of Explanations for Robot Navigation....
✔ 完成 [523/1760] | 设备: 机械臂 | 标题: ASGrasp: Generalizable Transparent Object Reconstruction and 6-DoF Grasp Detecti...
✔ 完成 [521/1760] | 设备: 机械臂 | 标题: Efficient End-to-End Detection of 6-DoF Grasps for Robotic Bin Picking....
✔ 完成 [529/1760] | 设备: 人形机器人 | 标题: Grounding Conversational Robots on Vision Through Dense Captioning and Large Lan...
✔ 完成 [528/1760] | 设备: 无人小车 | 标题: Learning Crowd Behaviors in Navigation with Attention-based Spatial-Temporal Gra...
✔ 完成 [525/1760] | 设备: 其他 | 标题: Toward Grounded Commonsense Reasoning....
✔ 完成 [531/1760] | 设备: 其他 | 标题: Design of Embodied Mediator Haru for Remote Cross Cultural Communication....
✔ 完成 [530/1760] | 设备: 其他 | 标题: Exploring the Impact of Narrator Type on Response Latency and Utterance Length D...
✔ 完成 [532/1760] | 设备: 其他 | 标题: ChatAdp: ChatGPT-powered Adaptation System for Human-Robot Interaction....
✔ 完成 [533/1760] | 设备: 其他 | 标题: The Impact of Evolutionary Computation on Robotic Design: A Case Study with an U...
✔ 完成 [536/1760] | 设备: 其他 | 标题: An adaptable ankle trajectory generation method for lower-limb exoskeletons by m...
✔ 完成 [534/1760] | 设备: 其他 | 标题: Design & Systematic Evaluation of Power Transmission Efficiency of an Ankle Exos...
✔ 完成 [535/1760] | 设备: 其他 | 标题: Achieving Mechanical Transparency Using Fusion Hybrid Linear Actuator for Should...
✔ 完成 [537/1760] | 设备: 其他 | 标题: Controlling FES of arm movements using physics-informed reinforcement learning v...
✔ 完成 [538/1760] | 设备: 其他 | 标题: Adaptive Control for Triadic Human-Robot-FES Collaboration in Gait Rehabilitatio...
✔ 完成 [539/1760] | 设备: 机械臂 | 标题: Stretch with Stretch: Physical Therapy Exercise Games Led by a Mobile Manipulato...
✔ 完成 [541/1760] | 设备: 其他 | 标题: On the Feasibility of EEG-based Motor Intention Detection for Real-Time Robot As...
✔ 完成 [540/1760] | 设备: 机械臂 | 标题: Robot Trajectron: Trajectory Prediction-based Shared Control for Robot Manipulat...
✔ 完成 [544/1760] | 设备: 其他 | 标题: CARTIER: Cartographic lAnguage Reasoning Targeted at Instruction Execution for R...
✔ 完成 [542/1760] | 设备: 其他 | 标题: Microexpression to Macroexpression: Facial Expression Magnification by Single In...
✔ 完成 [543/1760] | 设备: 其他 | 标题: Looking Inside Out: Anticipating Driver Intent From Videos....
✔ 完成 [545/1760] | 设备: 其他 | 标题: A Novel Benchmarking Paradigm and a Scale- and Motion-Aware Model for Egocentric...
✔ 完成 [548/1760] | 设备: 其他 | 标题: 3D Force and Contact Estimation for a Soft-Bubble Visuotactile Sensor Using FEM....
✔ 完成 [547/1760] | 设备: 机器狗 | 标题: Contrastive Learning-Based Attribute Extraction Method for Enhanced Terrain Clas...
✔ 完成 [550/1760] | 设备: 其他 | 标题: SATac: A Thermoluminescence Enabled Tactile Sensor for Concurrent Perception of ...
✔ 完成 [551/1760] | 设备: 其他 | 标题: Optimizing Multi-Touch Textile and Tactile Skin Sensing Through Circuit Paramete...
✔ 完成 [546/1760] | 设备: 其他 | 标题: A 3D Vector Field and Gaze Data Fusion Framework for Hand Motion Intention Predi...
✔ 完成 [549/1760] | 设备: 机械臂 | 标题: A Detachable FBG-Based Contact Force Sensor for Capturing Gripper-Vegetable Inte...
✔ 完成 [555/1760] | 设备: 机器狗 | 标题: An Efficient Model-Based Approach on Learning Agile Motor Skills without Reinfor...
✔ 完成 [552/1760] | 设备: 其他 | 标题: CushSense: Soft, Stretchable, and Comfortable Tactile-Sensing Skin for Physical ...
✔ 完成 [554/1760] | 设备: 机器狗 | 标题: Pedipulate: Enabling Manipulation Skills using a Quadruped Robot's Leg....
✔ 完成 [557/1760] | 设备: 其他 | 标题: Generation of Steady Wheel Gait for Planar X-shaped Walker with Reaction Wheel....
✔ 完成 [553/1760] | 设备: 其他 | 标题: Augmenting Tactile Simulators with Real-like and Zero-Shot Capabilities....
✔ 完成 [558/1760] | 设备: 机器狗 | 标题: Trajectory Optimization Strategy That Considers Body Tip-Over Stability, Limb Dy...
✔ 完成 [556/1760] | 设备: 机器狗 | 标题: Adaptive Model Predictive Control with Data-driven Error Model for Quadrupedal L...
✔ 完成 [559/1760] | 设备: 机械臂 | 标题: A Reinforcement Learning-based Control Strategy for Robust Interaction of Roboti...
✔ 完成 [560/1760] | 设备: 机械臂 | 标题: Stiffness-Based Hybrid Motion/ Force Control for Cable-Driven Serpentine Manipul...
✔ 完成 [561/1760] | 设备: 人形机器人 | 标题: Reinforcement Learning for Reduced-order Models of Legged Robots....
✔ 完成 [563/1760] | 设备: 机械臂 | 标题: Adaptive Contact-Implicit Model Predictive Control with Online Residual Learning...
✔ 完成 [564/1760] | 设备: 无人小车 | 标题: DRIVE: Data-driven Robot Input Vector Exploration....
✔ 完成 [569/1760] | 设备: 其他 | 标题: A three-dimensional compliant bowtie-shaped mechanical amplifier to magnify coax...
✔ 完成 [562/1760] | 设备: 无人小车 | 标题: K-BMPC: Derivative-based Koopman Bilinear Model Predictive Control For Tractor-t...
✔ 完成 [567/1760] | 设备: 其他 | 标题: A Novel SEA-based Haptic Interface for Robot-Assisted Vascular Interventional Su...
✔ 完成 [565/1760] | 设备: 机械臂 | 标题: A Force-driven and Vision-driven Hybrid Control Method of Autonomous Laparoscope...
✔ 完成 [566/1760] | 设备: 机械臂 | 标题: Inconstant curvature kinematics of parallel continuum robot without static model...
✔ 完成 [568/1760] | 设备: 机械臂 | 标题: A Miniature 1R1T Precision Manipulator with Remote Center of Motion for Minimall...
✔ 完成 [571/1760] | 设备: 其他 | 标题: Design and Visual Servoing Control of a Hybrid Dual-Segment Flexible Neurosurgic...
✔ 完成 [570/1760] | 设备: 其他 | 标题: A Magnetic Continuum Robot with In-situ Magnetic Reprogramming Capability....
✔ 完成 [578/1760] | 设备: 其他 | 标题: Multi-robot Search in a 3D Environment with Intersection System Constraints....
✔ 完成 [574/1760] | 设备: 其他 | 标题: Mechanism Design for New Sensors Field Deployment by LineRanger Powerline Robot....
✔ 完成 [577/1760] | 设备: 其他 | 标题: Computation-Aware Multi-object Search in 3D Space using Submodular Tree....
✔ 完成 [573/1760] | 设备: 其他 | 标题: Autonomous robotic re-alignment for face-to-face underwater human-robot interact...
✔ 完成 [575/1760] | 设备: 其他 | 标题: Cellular-enabled Collaborative Robots Planning and Operations for Search-and-Res...
✔ 完成 [572/1760] | 设备: 机械臂 | 标题: Uncertainty-Aware Shape Estimation of a Surgical Continuum Manipulator in Constr...
✔ 完成 [579/1760] | 设备: 其他 | 标题: Wireless Communication Infrastructure Building for Mobile Robot Search and Inspe...
✔ 完成 [576/1760] | 设备: 机器狗 | 标题: STAGE: Scalable and Traversability-Aware Graph based Exploration Planner for Dyn...
✔ 完成 [580/1760] | 设备: 无人小车 | 标题: RB5 Low-Cost Explorer: Implementing Autonomous Long-Term Exploration on Low-Cost...
✔ 完成 [581/1760] | 设备: 其他 | 标题: Multi-modal jumping and crawling in an autonomous, springtail-inspired microrobo...
✔ 完成 [582/1760] | 设备: 其他 | 标题: High-speed interfacial flight of an insect-scale robot....
✔ 完成 [587/1760] | 设备: 其他 | 标题: An Augmented Catenary Model for Underwater Tethered Robots....
✔ 完成 [584/1760] | 设备: 无人机 | 标题: Direct learning of home vector direction for insect-inspired robot navigation....
✔ 完成 [588/1760] | 设备: 其他 | 标题: A Hybrid Dynamical Model for Robotic Underwater Vehicles when Submerged or Surfa...
✔ 完成 [585/1760] | 设备: 其他 | 标题: A Dragonfly-inspired Flapping Wing Robot Mimicking Force Vector Control Approach...
✔ 完成 [586/1760] | 设备: 其他 | 标题: Microrobotic Flight Enabled by Ultralight Ion Thrusters with High Thrust-to-Weig...
✔ 完成 [589/1760] | 设备: 其他 | 标题: ReefGlider: A Highly Maneuverable Vectored Buoyancy Engine Based Underwater Robo...
✔ 完成 [590/1760] | 设备: 其他 | 标题: Robust Model Predictive Control with Control Barrier Functions for Autonomous Su...
✔ 完成 [593/1760] | 设备: 其他 | 标题: Angler: An Autonomy Framework for Intervention Tasks with Lightweight Underwater...
✔ 完成 [592/1760] | 设备: 其他 | 标题: Benchmarking Classical and Learning-Based Multibeam Point Cloud Registration....
✔ 完成 [583/1760] | 设备: 其他 | 标题: VLEIBot: A New 45-mg Swimming Microrobot Driven by a Bioinspired Anguilliform Pr...
✔ 完成 [591/1760] | 设备: 其他 | 标题: Underwater Dome-Port Camera Calibration: Modeling of Refraction and Offset throu...
✔ 完成 [594/1760] | 设备: 无人机 | 标题: Harnessing the Differential Flatness of Monocopter Dynamics for the Purpose of T...
✔ 完成 [596/1760] | 设备: 无人机 | 标题: Modeling and Control of PADUAV: a Passively Articulated Dual UAVs Platform for A...
✔ 完成 [597/1760] | 设备: 无人机 | 标题: Particle Filter with Stable Embedding for State Estimation of the Rigid Body Att...
✔ 完成 [595/1760] | 设备: 无人机 | 标题: Passive Aligning Physical Interaction of Fully-Actuated Aerial Vehicles for Push...
✔ 完成 [599/1760] | 设备: 无人机 | 标题: Robust Control for Bidirectional Thrust Quadrotors under Instantaneously Drastic...
✔ 完成 [600/1760] | 设备: 其他 | 标题: A Multi-modal Hybrid Robot with Enhanced Traversal Performance....
✔ 完成 [598/1760] | 设备: 无人机 | 标题: End-to-end Reinforcement Learning for Time-Optimal Quadcopter Flight....
✔ 完成 [601/1760] | 设备: 无人机 | 标题: Topological Exploration using Segmented Map with Keyframe Contribution in Subter...
✔ 完成 [606/1760] | 设备: 其他 | 标题: A Turning Radius Prediction Scheme for Sailing Robots under Complex Marine Envir...
✔ 完成 [603/1760] | 设备: 其他 | 标题: GIRA: Gaussian Mixture Models for Inference and Robot Autonomy....
✔ 完成 [602/1760] | 设备: 无人机 | 标题: A Powerline Inspection UAV Equipped with Dexterous, Lockable Gripping Mechanisms...
✔ 完成 [605/1760] | 设备: 无人小车 | 标题: Predicting against the Flow: Boosting Source Localization by Means of Field Beli...
✔ 完成 [607/1760] | 设备: 其他 | 标题: WayIL: Image-based Indoor Localization with Wayfinding Maps....
✔ 完成 [604/1760] | 设备: 其他 | 标题: Seabed intervention with an underwater legged robot....
✔ 完成 [608/1760] | 设备: 其他 | 标题: Globalizing Local Features: Image Retrieval Using Shared Local Features with Pos...
✔ 完成 [609/1760] | 设备: 其他 | 标题: Leveraging Neural Radiance Fields for Uncertainty-Aware Visual Localization....
✔ 完成 [610/1760] | 设备: 机器狗 | 标题: OptiState: State Estimation of Legged Robots using Gated Networks with Transform...
✔ 完成 [611/1760] | 设备: 其他 | 标题: ColonMapper: topological mapping and localization for colonoscopy....
✔ 完成 [612/1760] | 设备: 机器狗 | 标题: Scene Action Maps: Behavioural Maps for Navigation without Metric Information....
✔ 完成 [614/1760] | 设备: 其他 | 标题: OmniColor: A Global Camera Pose Optimization Approach of LiDAR-360Camera Fusion ...
✔ 完成 [617/1760] | 设备: 机械臂 | 标题: A Surprisingly Efficient Representation for Multi-Finger Grasping....
✔ 完成 [615/1760] | 设备: 其他 | 标题: InterRep: A Visual Interaction Representation for Robotic Grasping....
✔ 完成 [613/1760] | 设备: 其他 | 标题: Fast and Robust Normal Estimation for Sparse LiDAR Scans....
✔ 完成 [616/1760] | 设备: 机械臂 | 标题: Towards Feasible Dynamic Grasping: Leveraging Gaussian Process Distance Field, S...
✔ 完成 [621/1760] | 设备: 其他 | 标题: In-Hand Rolling Manipulation Based on Ball-on-Cloth System....
✔ 完成 [618/1760] | 设备: 其他 | 标题: GrainGrasp: Dexterous Grasp Generation with Fine-grained Contact Guidance....
✔ 完成 [619/1760] | 设备: 其他 | 标题: Regrasping on Printed Circuit Boards with the Smart Suction Cup....
✔ 完成 [620/1760] | 设备: 其他 | 标题: Quasi-static Soft Fixture Analysis of Rigid and Deformable Objects....
✔ 完成 [624/1760] | 设备: 机械臂 | 标题: Robust In-Hand Manipulation with Extrinsic Contacts....
✔ 完成 [625/1760] | 设备: 其他 | 标题: Dexterous In-hand Manipulation by Guiding Exploration with Simple Sub-skill Cont...
✔ 完成 [622/1760] | 设备: 其他 | 标题: Curriculum-based Sensing Reduction in Simulation to Real-World Transfer for In-h...
✔ 完成 [626/1760] | 设备: 机械臂 | 标题: Robot Synesthesia: In-Hand Manipulation with Visuotactile Sensing....
✔ 完成 [623/1760] | 设备: 其他 | 标题: Geometric Fabrics: a Safe Guiding Medium for Policy Learning....
✔ 完成 [627/1760] | 设备: 其他 | 标题: Robust 3D Object Detection from LiDAR-Radar Point Clouds via Cross-Modal Feature...
✔ 完成 [629/1760] | 设备: 其他 | 标题: Learning Temporal Cues by Predicting Objects Move for Multi-camera 3D Object Det...
✔ 完成 [628/1760] | 设备: 其他 | 标题: LSSAttn: Towards Dense and Accurate View Transformation for Multi-modal 3D Objec...
✔ 完成 [630/1760] | 设备: 其他 | 标题: HIC-YOLOv5: Improved YOLOv5 For Small Object Detection....
✔ 完成 [632/1760] | 设备: 无人机 | 标题: C2FDrone: Coarse-to-Fine Drone-to-Drone Detection using Vision Transformer Netwo...
✔ 完成 [631/1760] | 设备: 其他 | 标题: CLIPUNetr: Assisting Human-robot Interface for Uncalibrated Visual Servoing Cont...
✔ 完成 [634/1760] | 设备: 其他 | 标题: A Metacognitive Approach to Out-of-Distribution Detection for Segmentation....
✔ 完成 [633/1760] | 设备: 其他 | 标题: Better Monocular 3D Detectors with LiDAR from the Past....
✔ 完成 [635/1760] | 设备: 其他 | 标题: When to Replan? An Adaptive Replanning Strategy for Autonomous Navigation using ...
✔ 完成 [636/1760] | 设备: 其他 | 标题: Resolving Loop Closure Confusion in Repetitive Environments for Visual SLAM thro...
✔ 完成 [639/1760] | 设备: 无人小车 | 标题: Drive Anywhere: Generalizable End-to-end Autonomous Driving with Multi-modal Fou...
✔ 完成 [637/1760] | 设备: 机械臂 | 标题: Gen2Sim: Scaling up Robot Learning in Simulation with Generative Models....
✔ 完成 [638/1760] | 设备: 其他 | 标题: FLTRNN: Faithful Long-Horizon Task Planning for Robotics with Large Language Mod...
✔ 完成 [643/1760] | 设备: 无人小车 | 标题: Towards fault-tolerant deployment of mobile robot navigation in the edge: an exp...
✔ 完成 [642/1760] | 设备: 机械臂 | 标题: Fixture calibration with guaranteed bounds from a few correspondence-free surfac...
✔ 完成 [640/1760] | 设备: 其他 | 标题: AutoTAMP: Autoregressive Task and Motion Planning with LLMs as Translators and C...
✔ 完成 [641/1760] | 设备: 人形机器人 | 标题: Forgetting in Robotic Episodic Long-Term Memory....
✔ 完成 [644/1760] | 设备: 无人小车 | 标题: Prompting Multi-Modal Tokens to Enhance End-to-End Autonomous Driving Imitation ...
✔ 完成 [645/1760] | 设备: 无人小车 | 标题: DTPP: Differentiable Joint Conditional Prediction and Cost Evaluation for Tree P...
✔ 完成 [646/1760] | 设备: 无人小车 | 标题: SIMMF: Semantics-aware Interactive Multiagent Motion Forecasting for Autonomous ...
✔ 完成 [648/1760] | 设备: 无人小车 | 标题: Highway-Driving with Safe Velocity Bounds on Occluded Traffic....
✔ 完成 [649/1760] | 设备: 无人小车 | 标题: Generalizing Cooperative Eco-driving via Multi-residual Task Learning....
✔ 完成 [647/1760] | 设备: 无人小车 | 标题: CausalAgents: A Robustness Benchmark for Motion Forecasting....
✔ 完成 [652/1760] | 设备: 无人小车 | 标题: Task-Driven Domain-Agnostic Learning with Information Bottleneck for Autonomous ...
✔ 完成 [653/1760] | 设备: 其他 | 标题: Open X-Embodiment: Robotic Learning Datasets and RT-X Models : Open X-Embodiment...
✔ 完成 [655/1760] | 设备: 机械臂 | 标题: Hearing Touch: Audio-Visual Pretraining for Contact-Rich Manipulation....
✔ 完成 [656/1760] | 设备: 其他 | 标题: SARA-RT: Scaling up Robotics Transformers with Self-Adaptive Robust Attention....
✔ 完成 [651/1760] | 设备: 无人小车 | 标题: Continual Driving Policy Optimization with Closed-Loop Individualized Curricula....
✔ 完成 [650/1760] | 设备: 其他 | 标题: Approximate Multiagent Reinforcement Learning for On-Demand Urban Mobility Probl...
✔ 完成 [657/1760] | 设备: 其他 | 标题: DenseTact-Mini: An Optical Tactile Sensor for Grasping Multi-Scale Objects From ...
✔ 完成 [658/1760] | 设备: 机械臂 | 标题: Constrained Bimanual Planning with Analytic Inverse Kinematics....
✔ 完成 [654/1760] | 设备: 机械臂 | 标题: Towards Generalizable Zero-Shot Manipulation via Translating Human Interaction P...
✔ 完成 [660/1760] | 设备: 其他 | 标题: NGEL-SLAM: Neural Implicit Representation-based Global Consistent Low-Latency SL...
✔ 完成 [659/1760] | 设备: 其他 | 标题: Deep Evidential Uncertainty Estimation for Semantic Segmentation under Out-Of-Di...
✔ 完成 [661/1760] | 设备: 其他 | 标题: SeqTrack3D: Exploring Sequence Information for Robust 3D Point Cloud Tracking....
✔ 完成 [668/1760] | 设备: 无人小车 | 标题: Efficient Clothoid Tree-Based Local Path Planning for Self-Driving Robots....
✔ 完成 [665/1760] | 设备: 其他 | 标题: Multi-query TDSP for Path Planning in Time-varying Flow Fields....
✔ 完成 [666/1760] | 设备: 其他 | 标题: Stein Variational Guided Model Predictive Path Integral Control: Proposal and Ex...
✔ 完成 [669/1760] | 设备: 无人小车 | 标题: Decentralized Lifelong Path Planning for Multiple Ackerman Car-Like Robots....
✔ 完成 [662/1760] | 设备: 其他 | 标题: Ultrafast Square-Root Filter-based VINS....
✔ 完成 [663/1760] | 设备: 其他 | 标题: Universal Visual Decomposer: Long-Horizon Manipulation Made Easy....
✔ 完成 [664/1760] | 设备: 其他 | 标题: HEGN: Hierarchical Equivariant Graph Neural Network for 9DoF Point Cloud Registr...
✔ 完成 [667/1760] | 设备: 其他 | 标题: An Efficient Solution to the 2D Visibility Problem in Cartesian Grid Maps and it...
✔ 完成 [670/1760] | 设备: 其他 | 标题: Energy-Aware Ergodic Search: Continuous Exploration for Multi-Agent Systems with...
✔ 完成 [672/1760] | 设备: 其他 | 标题: A Novel Compact Design of a Lever-Cam based Variable Stiffness Actuator: LC-VSA....
✔ 完成 [671/1760] | 设备: 其他 | 标题: Development of Variable Transmission Series Elastic Actuator for Hip Exoskeleton...
✔ 完成 [675/1760] | 设备: 其他 | 标题: A non-magnetic dual-mode linear pneumatic actuator: initial design and assessmen...
✔ 完成 [674/1760] | 设备: 其他 | 标题: Experimental comparison of pinwheel and non-pinwheel designs of 3D-printed cyclo...
✔ 完成 [678/1760] | 设备: 机械臂 | 标题: An Analytic Solution to the 3D CSC Dubins Path Problem....
